Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED,Event Name,Year
37,4669,10.00,160.00,225.00,110.00,405.00,5-7-0,0,12,Sacramento Regional,2014
38,5026,10.00,150.00,270.00,140.00,229.00,5-7-0,0,12,Sacramento Regional,2014
39,5274,10.00,130.00,240.00,220.00,244.00,5-7-0,0,12,Sacramento Regional,2014
40,3250,8.00,420.00,355.00,150.00,221.00,4-8-0,0,12,Sacramento Regional,2014
41,3256,8.00,210.00,341.00,180.00,185.00,4-8-0,0,12,Sacramento Regional,2014
42,4698,8.00,180.00,280.00,100.00,155.00,4-8-0,0,12,Sacramento Regional,2014
43,2367,8.00,80.00,273.00,110.00,214.00,4-7-0,1,12,Sacramento Regional,2014
44,3013,8.00,70.00,175.00,90.00,243.00,4-7-0,1,12,Sacramento Regional,2014
45,3257,6.00,170.00,275.00,80.00,151.00,3-9-0,0,12,Sacramento Regional,2014
46,5250,6.00,170.00,256.00,60.00,167.00,3-9-0,0,12,Sacramento Regional,2014
47,2141,6.00,150.00,255.00,110.00,158.00,3-9-0,0,12,Sacramento Regional,2014
48,253,6.00,150.00,171.00,70.00,124.00,3-9-0,0,12,Sacramento Regional,2014
49,2489,6.00,140.00,356.00,150.00,207.00,3-9-0,0,12,Sacramento Regional,2014
50,1868,6.00,120.00,315.00,110.00,293.00,3-9-0,0,12,Sacramento Regional,2014
51,115,6.00,110.00,330.00,90.00,275.00,3-9-0,0,12,Sacramento Regional,2014
52,1351,6.00,100.00,255.00,130.00,204.00,3-9-0,0,12,Sacramento Regional,2014
53,585,6.00,70.00,210.00,100.00,245.00,3-9-0,0,12,Sacramento Regional,2014
54,3554,6.00,70.00,196.00,120.00,246.00,3-9-0,0,12,Sacramento Regional,2014
1,233,20.00,280.00,375.00,230.00,375.00,10-0-0,0,10,Orlando Regional,2014
2,1592,20.00,260.00,395.00,190.00,537.00,10-0-0,0,10,Orlando Regional,2014
3,624,18.00,360.00,516.00,190.00,310.00,9-1-0,0,10,Orlando Regional,2014
4,744,18.00,200.00,375.00,90.00,553.00,9-1-0,0,10,Orlando Regional,2014
5,1523,16.00,290.00,310.00,130.00,403.00,8-2-0,0,10,Orlando Regional,2014
6,3998,16.00,260.00,375.00,180.00,464.00,8-2-0,0,10,Orlando Regional,2014
7,383,16.00,230.00,396.00,190.00,312.00,8-2-0,0,10,Orlando Regional,2014
8,3556,16.00,220.00,375.00,120.00,280.00,8-2-0,0,10,Orlando Regional,2014
9,179,16.00,150.00,332.00,150.00,275.00,8-2-0,0,10,Orlando Regional,2014
10,180,14.00,350.00,390.00,290.00,333.00,7-3-0,0,10,Orlando Regional,2014
11,4118,14.00,220.00,406.00,190.00,356.00,7-3-0,0,10,Orlando Regional,2014
12,4451,14.00,220.00,400.00,100.00,385.00,7-3-0,0,10,Orlando Regional,2014
13,1772,14.00,190.00,311.00,290.00,434.00,7-3-0,0,10,Orlando Regional,2014
14,2797,14.00,180.00,215.00,80.00,519.00,7-3-0,0,10,Orlando Regional,2014
15,4065,14.00,130.00,215.00,120.00,434.00,7-2-0,1,10,Orlando Regional,2014
16,21,14.00,120.00,281.00,120.00,511.00,7-3-0,0,10,Orlando Regional,2014
17,1065,12.00,240.00,430.00,180.00,463.00,6-4-0,0,10,Orlando Regional,2014
18,5283,12.00,230.00,290.00,110.00,313.00,6-4-0,0,10,Orlando Regional,2014
19,2152,12.00,200.00,340.00,120.00,217.00,6-4-0,0,10,Orlando Regional,2014
20,3557,12.00,150.00,300.00,170.00,298.00,6-4-0,0,10,Orlando Regional,2014
21,4024,12.00,150.00,247.00,60.00,163.00,6-4-0,0,10,Orlando Regional,2014
22,801,12.00,130.00,395.00,130.00,269.00,6-4-0,0,10,Orlando Regional,2014
23,79,10.00,340.00,330.00,60.00,184.00,5-5-0,0,10,Orlando Regional,2014
24,1557,10.00,250.00,401.00,120.00,354.00,5-5-0,0,10,Orlando Regional,2014
25,4901,10.00,240.00,280.00,90.00,307.00,5-5-0,0,10,Orlando Regional,2014
26,1251,10.00,220.00,255.00,70.00,191.00,5-5-0,0,10,Orlando Regional,2014
27,1421,10.00,210.00,460.00,140.00,368.00,5-5-0,0,10,Orlando Regional,2014
28,3932,10.00,190.00,301.00,100.00,454.00,5-5-0,0,10,Orlando Regional,2014
29,456,10.00,180.00,340.00,100.00,290.00,5-5-0,0,10,Orlando Regional,2014
30,86,10.00,150.00,335.00,90.00,275.00,5-5-0,0,10,Orlando Regional,2014
31,4769,10.00,140.00,300.00,170.00,262.00,5-5-0,0,10,Orlando Regional,2014
32,1876,10.00,130.00,391.00,180.00,290.00,5-5-0,0,10,Orlando Regional,2014
33,1649,10.00,120.00,300.00,70.00,339.00,5-5-0,0,10,Orlando Regional,2014
34,4352,10.00,120.00,282.00,100.00,294.00,5-5-0,0,10,Orlando Regional,2014
35,3659,10.00,80.00,185.00,110.00,301.00,5-5-0,0,10,Orlando Regional,2014
36,5145,8.00,240.00,269.00,150.00,214.00,4-6-0,0,10,Orlando Regional,2014
37,1912,8.00,230.00,325.00,140.00,269.00,4-6-0,0,10,Orlando Regional,2014
38,1902,8.00,220.00,235.00,50.00,264.00,4-6-0,0,10,Orlando Regional,2014
39,4592,8.00,170.00,361.00,170.00,212.00,4-6-0,0,10,Orlando Regional,2014
40,4064,8.00,160.00,266.00,50.00,107.00,4-6-0,0,10,Orlando Regional,2014
41,3627,8.00,160.00,185.00,150.00,336.00,4-6-0,0,10,Orlando Regional,2014
42,2080,8.00,150.00,345.00,50.00,177.00,4-6-0,0,10,Orlando Regional,2014
43,2425,8.00,90.00,196.00,90.00,198.00,4-6-0,0,10,Orlando Regional,2014
44,4091,8.00,70.00,266.00,70.00,335.00,4-6-0,0,10,Orlando Regional,2014
45,386,8.00,60.00,251.00,90.00,254.00,4-6-0,0,10,Orlando Regional,2014
46,5276,8.00,50.00,235.00,90.00,267.00,4-6-0,0,10,Orlando Regional,2014
47,2556,6.00,190.00,245.00,100.00,311.00,3-7-0,0,10,Orlando Regional,2014
48,1369,6.00,170.00,245.00,70.00,294.00,3-7-0,0,10,Orlando Regional,2014
49,3502,6.00,150.00,195.00,70.00,223.00,3-7-0,0,10,Orlando Regional,2014
50,3653,6.00,140.00,326.00,40.00,258.00,3-7-0,0,10,Orlando Regional,2014
51,2916,6.00,140.00,215.00,60.00,288.00,3-7-0,0,10,Orlando Regional,2014
52,4833,6.00,130.00,260.00,120.00,326.00,3-7-0,0,10,Orlando Regional,2014
53,3164,6.00,110.00,210.00,170.00,262.00,3-7-0,0,10,Orlando Regional,2014
54,4013,6.00,100.00,305.00,90.00,354.00,3-7-0,0,10,Orlando Regional,2014
55,1872,6.00,80.00,266.00,130.00,195.00,3-7-0,0,10,Orlando Regional,2014
56,4471,4.00,200.00,300.00,30.00,190.00,2-8-0,0,10,Orlando Regional,2014
57,4707,4.00,170.00,386.00,130.00,161.00,2-8-0,0,10,Orlando Regional,2014
58,2383,4.00,100.00,300.00,110.00,274.00,2-8-0,0,10,Orlando Regional,2014
59,1604,4.00,90.00,200.00,40.00,64.00,2-8-0,0,10,Orlando Regional,2014
60,945,2.00,130.00,305.00,60.00,251.00,1-9-0,0,10,Orlando Regional,2014
61,3242,2.00,70.00,245.00,80.00,58.00,1-9-0,0,10,Orlando Regional,2014
62,5009,2.00,50.00,201.00,40.00,135.00,1-9-0,0,10,Orlando Regional,2014
1,118,22.00,790.00,572.00,170.00,556.00,11-0-0,0,11,Greater Kansas City Regional,2014
2,1986,20.00,700.00,587.00,190.00,553.00,10-1-0,0,11,Greater Kansas City Regional,2014
3,4522,20.00,530.00,467.00,350.00,730.00,10-1-0,0,11,Greater Kansas City Regional,2014
4,1775,20.00,460.00,503.00,260.00,512.00,10-1-0,0,11,Greater Kansas City Regional,2014
5,1806,18.00,580.00,408.00,230.00,193.00,9-2-0,0,11,Greater Kansas City Regional,2014
6,3528,18.00,400.00,491.00,200.00,483.00,9-2-0,0,11,Greater Kansas City Regional,2014
7,1730,16.00,570.00,427.00,270.00,472.00,8-3-0,0,11,Greater Kansas City Regional,2014
8,1810,16.00,460.00,465.00,220.00,424.00,8-3-0,0,11,Greater Kansas City Regional,2014
9,3928,16.00,370.00,435.00,220.00,423.00,8-3-0,0,11,Greater Kansas City Regional,2014
10,5119,16.00,300.00,358.00,170.00,202.00,8-3-0,0,11,Greater Kansas City Regional,2014
11,3612,16.00,190.00,438.00,130.00,643.00,8-3-0,0,11,Greater Kansas City Regional,2014
12,1825,14.00,380.00,381.00,220.00,513.00,7-4-0,0,11,Greater Kansas City Regional,2014
13,3172,14.00,340.00,277.00,70.00,395.00,7-4-0,0,11,Greater Kansas City Regional,2014
14,2164,14.00,320.00,386.00,160.00,387.00,7-4-0,0,11,Greater Kansas City Regional,2014
15,5013,14.00,310.00,352.00,90.00,397.00,7-4-0,0,11,Greater Kansas City Regional,2014
16,1982,14.00,260.00,492.00,190.00,290.00,7-4-0,0,11,Greater Kansas City Regional,2014
17,1997,14.00,220.00,321.00,130.00,374.00,7-4-0,0,11,Greater Kansas City Regional,2014
18,1987,13.00,450.00,517.00,200.00,421.00,6-4-1,0,11,Greater Kansas City Regional,2014
19,2410,12.00,430.00,258.00,160.00,485.00,6-5-0,0,11,Greater Kansas City Regional,2014
20,2345,12.00,390.00,349.00,140.00,207.00,6-5-0,0,11,Greater Kansas City Regional,2014
21,4646,12.00,380.00,298.00,180.00,447.00,6-5-0,0,11,Greater Kansas City Regional,2014
22,1802,12.00,270.00,506.00,130.00,307.00,6-5-0,0,11,Greater Kansas City Regional,2014
23,1769,12.00,250.00,453.00,160.00,373.00,6-5-0,0,11,Greater Kansas City Regional,2014
24,5082,12.00,170.00,312.00,160.00,480.00,6-5-0,0,11,Greater Kansas City Regional,2014
25,1785,10.00,300.00,377.00,130.00,161.00,5-6-0,0,11,Greater Kansas City Regional,2014
26,2167,10.00,290.00,381.00,80.00,453.00,5-6-0,0,11,Greater Kansas City Regional,2014
27,1764,10.00,280.00,326.00,110.00,311.00,5-6-0,0,11,Greater Kansas City Regional,2014
28,2457,10.00,240.00,399.00,180.00,423.00,5-6-0,0,11,Greater Kansas City Regional,2014
29,935,10.00,220.00,439.00,150.00,326.00,5-6-0,0,11,Greater Kansas City Regional,2014
30,4959,10.00,220.00,327.00,50.00,390.00,5-6-0,0,11,Greater Kansas City Regional,2014
31,4455,10.00,220.00,311.00,220.00,291.00,5-6-0,0,11,Greater Kansas City Regional,2014
32,1777,10.00,200.00,336.00,100.00,342.00,5-6-0,0,11,Greater Kansas City Regional,2014
33,2874,10.00,180.00,431.00,100.00,309.00,5-6-0,0,11,Greater Kansas City Regional,2014
34,3973,10.00,180.00,316.00,90.00,366.00,5-6-0,0,11,Greater Kansas City Regional,2014
35,2001,10.00,160.00,294.00,110.00,281.00,5-6-0,0,11,Greater Kansas City Regional,2014
36,937,10.00,150.00,478.00,90.00,343.00,5-6-0,0,11,Greater Kansas City Regional,2014
37,3485,10.00,110.00,448.00,70.00,193.00,5-6-0,0,11,Greater Kansas City Regional,2014
38,5189,10.00,80.00,314.00,60.00,440.00,5-6-0,0,11,Greater Kansas City Regional,2014
39,1939,8.00,300.00,360.00,140.00,319.00,4-7-0,0,11,Greater Kansas City Regional,2014
40,1827,8.00,260.00,350.00,80.00,511.00,4-7-0,0,11,Greater Kansas City Regional,2014
41,5268,8.00,210.00,312.00,110.00,325.00,4-7-0,0,11,Greater Kansas City Regional,2014
42,2560,8.00,110.00,260.00,80.00,253.00,4-7-0,0,11,Greater Kansas City Regional,2014
43,5126,8.00,100.00,277.00,60.00,305.00,4-7-0,0,11,Greater Kansas City Regional,2014
44,2346,7.00,290.00,320.00,190.00,244.00,3-7-1,0,11,Greater Kansas City Regional,2014
45,1737,7.00,170.00,286.00,100.00,240.00,3-7-1,0,11,Greater Kansas City Regional,2014
46,2353,7.00,160.00,269.00,70.00,259.00,3-7-1,0,11,Greater Kansas City Regional,2014
47,1984,7.00,80.00,249.00,20.00,330.00,3-7-1,0,11,Greater Kansas City Regional,2014
48,1763,6.00,310.00,299.00,160.00,177.00,3-8-0,0,11,Greater Kansas City Regional,2014
49,1847,6.00,240.00,350.00,120.00,172.00,3-8-0,0,11,Greater Kansas City Regional,2014
50,5098,6.00,240.00,350.00,100.00,250.00,3-8-0,0,11,Greater Kansas City Regional,2014
51,1723,6.00,220.00,361.00,150.00,280.00,3-8-0,0,11,Greater Kansas City Regional,2014
52,2335,6.00,210.00,299.00,100.00,274.00,3-8-0,0,11,Greater Kansas City Regional,2014
53,5141,6.00,200.00,195.00,50.00,386.00,3-8-0,0,11,Greater Kansas City Regional,2014
54,4809,6.00,150.00,286.00,90.00,207.00,3-8-0,0,11,Greater Kansas City Regional,2014
55,2357,6.00,130.00,404.00,70.00,273.00,3-8-0,0,11,Greater Kansas City Regional,2014
56,938,6.00,130.00,261.00,60.00,361.00,3-8-0,0,11,Greater Kansas City Regional,2014
57,932,5.00,120.00,359.00,70.00,313.00,2-8-1,0,11,Greater Kansas City Regional,2014
58,1994,4.00,260.00,298.00,50.00,284.00,2-9-0,0,11,Greater Kansas City Regional,2014
1,1501,22.00,290.00,590.00,240.00,282.00,11-0-0,0,11,St. Louis Regional,2014
2,4256,18.00,280.00,482.00,200.00,300.00,9-2-0,0,11,St. Louis Regional,2014
3,1706,16.00,380.00,467.00,260.00,124.00,8-3-0,0,11,St. Louis Regional,2014
4,3284,16.00,280.00,442.00,300.00,312.00,8-3-0,0,11,St. Louis Regional,2014
5,1985,16.00,260.00,573.00,220.00,259.00,8-3-0,0,11,St. Louis Regional,2014
6,279,16.00,260.00,369.00,170.00,193.00,8-3-0,0,11,St. Louis Regional,2014
7,931,16.00,250.00,472.00,150.00,181.00,8-3-0,0,11,St. Louis Regional,2014
8,1288,16.00,230.00,477.00,230.00,317.00,8-3-0,0,11,St. Louis Regional,2014
9,2978,14.00,200.00,449.00,180.00,213.00,7-4-0,0,11,St. Louis Regional,2014
10,4329,14.00,190.00,521.00,150.00,180.00,7-4-0,0,11,St. Louis Regional,2014
11,3792,14.00,170.00,375.00,170.00,269.00,7-4-0,0,11,St. Louis Regional,2014
12,1658,14.00,110.00,631.00,220.00,147.00,7-4-0,0,11,St. Louis Regional,2014
13,1329,13.00,230.00,470.00,150.00,167.00,6-4-1,0,11,St. Louis Regional,2014
14,1208,12.00,210.00,447.00,200.00,209.00,6-5-0,0,11,St. Louis Regional,2014
15,2838,12.00,200.00,482.00,100.00,346.00,6-5-0,0,11,St. Louis Regional,2014
16,4931,12.00,190.00,287.00,190.00,155.00,6-5-0,0,11,St. Louis Regional,2014
17,4187,12.00,190.00,259.00,110.00,155.00,6-5-0,0,11,St. Louis Regional,2014
18,4500,12.00,180.00,212.00,100.00,316.00,6-5-0,0,11,St. Louis Regional,2014
19,4028,12.00,170.00,461.00,170.00,209.00,6-5-0,0,11,St. Louis Regional,2014
20,3330,12.00,170.00,304.00,150.00,237.00,6-5-0,0,11,St. Louis Regional,2014
21,4600,12.00,150.00,304.00,120.00,219.00,6-5-0,0,11,St. Louis Regional,2014
22,1094,10.00,260.00,404.00,250.00,207.00,5-6-0,0,11,St. Louis Regional,2014
23,3397,10.00,210.00,328.00,160.00,198.00,5-6-0,0,11,St. Louis Regional,2014
24,5176,10.00,170.00,341.00,130.00,357.00,5-6-0,0,11,St. Louis Regional,2014
25,4154,10.00,160.00,389.00,110.00,191.00,5-6-0,0,11,St. Louis Regional,2014
26,4404,10.00,160.00,322.00,130.00,262.00,5-6-0,0,11,St. Louis Regional,2014
27,2665,10.00,150.00,287.00,130.00,175.00,5-6-0,0,11,St. Louis Regional,2014
28,3868,10.00,130.00,301.00,80.00,192.00,5-6-0,0,11,St. Louis Regional,2014
29,4156,10.00,100.00,400.00,140.00,166.00,5-6-0,0,11,St. Louis Regional,2014
30,4356,9.00,160.00,428.00,70.00,161.00,4-6-1,0,11,St. Louis Regional,2014
31,2902,9.00,130.00,392.00,110.00,112.00,4-6-1,0,11,St. Louis Regional,2014
32,5060,9.00,130.00,316.00,140.00,130.00,4-6-1,0,11,St. Louis Regional,2014
33,4232,8.00,190.00,311.00,110.00,224.00,4-7-0,0,11,St. Louis Regional,2014
34,4314,8.00,170.00,271.00,110.00,193.00,4-7-0,0,11,St. Louis Regional,2014
35,5326,8.00,160.00,363.00,100.00,115.00,4-7-0,0,11,St. Louis Regional,2014
36,4331,8.00,120.00,330.00,160.00,106.00,4-7-0,0,11,St. Louis Regional,2014
37,5147,8.00,120.00,309.00,150.00,179.00,4-7-0,0,11,St. Louis Regional,2014
38,3885,7.00,130.00,333.00,90.00,124.00,3-7-1,0,11,St. Louis Regional,2014
39,5002,6.00,180.00,322.00,100.00,67.00,3-8-0,0,11,St. Louis Regional,2014
40,4330,6.00,120.00,364.00,90.00,59.00,3-8-0,0,11,St. Louis Regional,2014
41,4246,6.00,110.00,322.00,140.00,140.00,3-8-0,0,11,St. Louis Regional,2014
42,1444,6.00,100.00,268.00,50.00,186.00,3-8-0,0,11,St. Louis Regional,2014
43,1178,6.00,90.00,386.00,60.00,89.00,3-8-0,0,11,St. Louis Regional,2014
44,2783,5.00,100.00,289.00,80.00,109.00,2-8-1,0,11,St. Louis Regional,2014
45,2408,4.00,190.00,322.00,130.00,112.00,2-9-0,0,11,St. Louis Regional,2014
1,1111,22.00,290.00,309.00,250.00,168.00,11-0-0,0,11,North Carolina Regional,2014
2,900,20.00,320.00,421.00,350.00,131.00,10-1-0,0,11,North Carolina Regional,2014
3,2059,20.00,310.00,290.00,240.00,204.00,10-1-0,0,11,North Carolina Regional,2014
4,836,20.00,260.00,550.00,160.00,389.00,10-1-0,0,11,North Carolina Regional,2014
5,587,18.00,170.00,201.00,60.00,293.00,9-2-0,0,11,North Carolina Regional,2014
6,5160,16.00,270.00,266.00,110.00,219.00,8-3-0,0,11,North Carolina Regional,2014
7,2641,16.00,190.00,391.00,210.00,93.00,8-3-0,0,11,North Carolina Regional,2014
8,4828,16.00,170.00,355.00,150.00,244.00,8-3-0,0,11,North Carolina Regional,2014
9,2640,15.00,230.00,368.00,190.00,191.00,7-3-1,0,11,North Carolina Regional,2014
10,1413,15.00,220.00,229.00,220.00,133.00,7-3-1,0,11,North Carolina Regional,2014
11,4481,14.00,280.00,235.00,150.00,181.00,7-4-0,0,11,North Carolina Regional,2014
12,5190,14.00,220.00,275.00,110.00,213.00,7-4-0,0,11,North Carolina Regional,2014
13,2642,14.00,190.00,365.00,200.00,239.00,7-4-0,0,11,North Carolina Regional,2014
14,3763,14.00,130.00,246.00,10.00,241.00,7-4-0,0,11,North Carolina Regional,2014
15,339,14.00,120.00,362.00,80.00,178.00,7-4-0,0,11,North Carolina Regional,2014
16,375,14.00,100.00,332.00,120.00,376.00,7-4-0,0,11,North Carolina Regional,2014
17,3506,13.00,160.00,291.00,80.00,320.00,6-4-1,0,11,North Carolina Regional,2014
18,449,12.00,230.00,312.00,60.00,287.00,6-5-0,0,11,North Carolina Regional,2014
19,2890,12.00,190.00,247.00,130.00,183.00,6-5-0,0,11,North Carolina Regional,2014
20,1533,12.00,150.00,285.00,240.00,109.00,6-5-0,0,11,North Carolina Regional,2014
21,4534,12.00,130.00,202.00,90.00,241.00,6-5-0,0,11,North Carolina Regional,2014
22,3229,11.00,150.00,207.00,110.00,200.00,5-5-1,0,11,North Carolina Regional,2014
23,4935,10.00,210.00,205.00,40.00,189.00,5-6-0,0,11,North Carolina Regional,2014
24,3971,10.00,200.00,211.00,110.00,115.00,5-6-0,0,11,North Carolina Regional,2014
25,3701,10.00,190.00,270.00,100.00,126.00,5-6-0,0,11,North Carolina Regional,2014
26,3737,10.00,180.00,226.00,130.00,155.00,5-6-0,0,11,North Carolina Regional,2014
27,3459,10.00,170.00,251.00,0,168.00,5-6-0,0,11,North Carolina Regional,2014
28,4290,10.00,170.00,192.00,60.00,213.00,5-6-0,0,11,North Carolina Regional,2014
29,3331,10.00,160.00,231.00,80.00,153.00,5-6-0,0,11,North Carolina Regional,2014
30,4767,10.00,130.00,187.00,110.00,118.00,5-6-0,0,11,North Carolina Regional,2014
31,3402,10.00,110.00,203.00,130.00,149.00,5-5-0,1,11,North Carolina Regional,2014
32,4795,10.00,110.00,120.00,70.00,185.00,5-6-0,0,11,North Carolina Regional,2014
33,3661,10.00,90.00,297.00,80.00,170.00,5-6-0,0,11,North Carolina Regional,2014
34,3493,10.00,80.00,218.00,90.00,213.00,5-6-0,0,11,North Carolina Regional,2014
35,3822,10.00,70.00,276.00,130.00,67.00,5-6-0,0,11,North Carolina Regional,2014
36,2483,10.00,60.00,256.00,60.00,351.00,5-6-0,0,11,North Carolina Regional,2014
37,2528,9.00,150.00,232.00,120.00,203.00,4-6-1,0,11,North Carolina Regional,2014
38,4288,8.00,260.00,270.00,80.00,156.00,4-7-0,0,11,North Carolina Regional,2014
39,4816,8.00,140.00,271.00,120.00,79.00,4-7-0,0,11,North Carolina Regional,2014
40,4561,8.00,130.00,226.00,50.00,169.00,4-7-0,0,11,North Carolina Regional,2014
41,4829,8.00,100.00,171.00,80.00,168.00,4-7-0,0,11,North Carolina Regional,2014
42,4823,8.00,90.00,202.00,70.00,256.00,4-7-0,0,11,North Carolina Regional,2014
43,3811,8.00,80.00,122.00,50.00,253.00,4-4-0,3,11,North Carolina Regional,2014
44,1287,8.00,60.00,206.00,60.00,164.00,4-7-0,0,11,North Carolina Regional,2014
45,4245,6.00,280.00,260.00,110.00,125.00,3-8-0,0,11,North Carolina Regional,2014
46,435,6.00,170.00,331.00,80.00,40.00,3-8-0,0,11,North Carolina Regional,2014
47,3215,6.00,120.00,220.00,90.00,105.00,3-8-0,0,11,North Carolina Regional,2014
48,122,6.00,110.00,187.00,90.00,69.00,3-8-0,0,11,North Carolina Regional,2014
49,3796,6.00,90.00,166.00,60.00,158.00,3-7-0,1,11,North Carolina Regional,2014
50,3680,6.00,70.00,218.00,40.00,262.00,3-8-0,0,11,North Carolina Regional,2014
51,3336,5.00,60.00,183.00,50.00,318.00,2-8-1,0,11,North Carolina Regional,2014
52,3845,4.00,110.00,171.00,110.00,32.00,2-7-0,2,11,North Carolina Regional,2014
53,4291,4.00,70.00,185.00,50.00,266.00,2-9-0,0,11,North Carolina Regional,2014
54,4996,4.00,40.00,171.00,50.00,206.00,2-9-0,0,11,North Carolina Regional,2014
1,1126,20.00,240.00,480.00,230.00,478.00,10-2-0,0,12,New York Tech Valley Regional,2014
2,5030,20.00,200.00,290.00,220.00,592.00,10-2-0,0,12,New York Tech Valley Regional,2014
3,250,20.00,70.00,415.00,220.00,352.00,10-2-0,0,12,New York Tech Valley Regional,2014
4,3003,17.00,260.00,386.00,160.00,425.00,8-3-1,0,12,New York Tech Valley Regional,2014
5,20,16.00,310.00,386.00,190.00,576.00,8-4-0,0,12,New York Tech Valley Regional,2014
6,3990,16.00,250.00,485.00,160.00,244.00,8-4-0,0,12,New York Tech Valley Regional,2014
7,1511,15.00,440.00,470.00,160.00,285.00,7-4-1,0,12,New York Tech Valley Regional,2014
8,174,15.00,240.00,515.00,200.00,438.00,7-4-1,0,12,New York Tech Valley Regional,2014
9,870,15.00,170.00,465.00,160.00,323.00,7-4-1,0,12,New York Tech Valley Regional,2014
10,3687,15.00,160.00,415.00,180.00,285.00,7-4-1,0,12,New York Tech Valley Regional,2014
11,53,15.00,150.00,316.00,100.00,384.00,7-4-1,0,12,New York Tech Valley Regional,2014
12,3193,14.00,290.00,395.00,120.00,299.00,7-5-0,0,12,New York Tech Valley Regional,2014
13,578,14.00,230.00,380.00,170.00,222.00,7-5-0,0,12,New York Tech Valley Regional,2014
14,3044,14.00,220.00,285.00,150.00,452.00,7-5-0,0,12,New York Tech Valley Regional,2014
15,4203,14.00,180.00,451.00,130.00,524.00,7-5-0,0,12,New York Tech Valley Regional,2014
16,2228,14.00,170.00,481.00,180.00,294.00,7-5-0,0,12,New York Tech Valley Regional,2014
17,145,14.00,130.00,475.00,110.00,416.00,7-5-0,0,12,New York Tech Valley Regional,2014
18,358,14.00,120.00,335.00,170.00,414.00,7-5-0,0,12,New York Tech Valley Regional,2014
19,3059,13.00,80.00,315.00,70.00,295.00,6-5-1,0,12,New York Tech Valley Regional,2014
20,3015,12.00,250.00,505.00,130.00,161.00,6-6-0,0,12,New York Tech Valley Regional,2014
21,340,12.00,170.00,391.00,170.00,266.00,6-6-0,0,12,New York Tech Valley Regional,2014
22,379,12.00,130.00,325.00,170.00,414.00,6-6-0,0,12,New York Tech Valley Regional,2014
23,2053,10.00,240.00,315.00,70.00,302.00,5-7-0,0,12,New York Tech Valley Regional,2014
24,1493,10.00,220.00,371.00,240.00,395.00,5-7-0,0,12,New York Tech Valley Regional,2014
25,2791,10.00,200.00,385.00,140.00,283.00,5-7-0,0,12,New York Tech Valley Regional,2014
26,1665,10.00,150.00,390.00,160.00,129.00,5-7-0,0,12,New York Tech Valley Regional,2014
27,5149,10.00,90.00,280.00,140.00,338.00,5-7-0,0,12,New York Tech Valley Regional,2014
28,4975,10.00,30.00,306.00,80.00,354.00,4-6-2,0,12,New York Tech Valley Regional,2014
29,5236,8.00,250.00,506.00,130.00,190.00,4-8-0,0,12,New York Tech Valley Regional,2014
30,4122,8.00,100.00,341.00,100.00,174.00,4-8-0,0,12,New York Tech Valley Regional,2014
31,116,8.00,90.00,365.00,130.00,272.00,4-8-0,0,12,New York Tech Valley Regional,2014
32,3936,8.00,60.00,310.00,100.00,303.00,4-8-0,0,12,New York Tech Valley Regional,2014
33,4134,7.00,190.00,370.00,140.00,140.00,3-8-1,0,12,New York Tech Valley Regional,2014
34,2911,7.00,120.00,275.00,90.00,154.00,3-8-1,0,12,New York Tech Valley Regional,2014
35,229,6.00,140.00,277.00,60.00,238.00,3-9-0,0,12,New York Tech Valley Regional,2014
36,527,6.00,70.00,405.00,110.00,173.00,3-9-0,0,12,New York Tech Valley Regional,2014
37,4508,5.00,120.00,236.00,150.00,334.00,2-9-1,0,12,New York Tech Valley Regional,2014
38,1708,2.00,130.00,307.00,160.00,280.00,1-11-0,0,12,New York Tech Valley Regional,2014
1,148,24.00,640.00,475.00,270.00,635.00,12-0-0,0,12,Dallas Regional,2014
2,2158,22.00,300.00,410.00,260.00,505.00,11-1-0,0,12,Dallas Regional,2014
3,1817,20.00,430.00,587.00,150.00,622.00,10-2-0,0,12,Dallas Regional,2014
4,2848,20.00,340.00,496.00,190.00,471.00,10-2-0,0,12,Dallas Regional,2014
5,359,18.00,610.00,452.00,250.00,461.00,9-3-0,0,12,Dallas Regional,2014
6,231,18.00,340.00,296.00,270.00,431.00,9-3-0,0,12,Dallas Regional,2014
7,1860,16.00,360.00,395.00,220.00,470.00,8-4-0,0,12,Dallas Regional,2014
8,704,16.00,300.00,371.00,150.00,535.00,8-3-0,0,11,Dallas Regional,2014
9,5057,16.00,300.00,311.00,180.00,377.00,8-4-0,0,12,Dallas Regional,2014
10,4063,16.00,290.00,502.00,300.00,342.00,8-4-0,0,12,Dallas Regional,2014
11,2789,16.00,250.00,305.00,150.00,247.00,8-4-0,0,12,Dallas Regional,2014
12,3735,14.00,450.00,357.00,120.00,343.00,7-5-0,0,12,Dallas Regional,2014
13,2950,14.00,440.00,271.00,110.00,304.00,7-5-0,0,12,Dallas Regional,2014
14,3847,14.00,390.00,356.00,160.00,288.00,7-5-0,0,12,Dallas Regional,2014
15,3802,14.00,330.00,421.00,110.00,490.00,7-5-0,0,12,Dallas Regional,2014
16,5212,14.00,210.00,333.00,230.00,453.00,7-5-0,0,12,Dallas Regional,2014
17,2415,14.00,190.00,250.00,190.00,671.00,7-5-0,0,12,Dallas Regional,2014
18,3282,14.00,140.00,195.00,180.00,528.00,7-5-0,0,12,Dallas Regional,2014
